"Location";"AdmArea";"District";"WorkStartDate";"WorkEndDate";"WorkType";"WorkStatus";"global_id";"NameOrg";"geodata_center";"geoarea";
"Сиреневый бульвар, дом, 14 корпус, 1";"Восточный административный округ";"район Измайлово";"09.10.2017";"25.12.2017";"прочие";"закончены";"660474491";"АО «Мосгаз»";"0101000000F4DB557A6BE44240722A18C2B6E64B40";"";
"Улица Авиамоторная, проезд Энтузиастов";"Юго-Восточный административный округ";"район Лефортово";"24.04.2017";"30.08.2020";"прочие";"закончены";"660474760";"АО «Мосгаз»";"01010000000D01AA4DFBDB4240BCD953474CE04B40";"";
"Проектируемый проезд";"Юго-Восточный административный округ";"Рязанский район";"21.04.2017";"30.05.2018";"прочие";"закончены";"660475030";"АО «Мосгаз»";"0101000000EA9962BDBCDE424097CB1B08C4DC4B40";"";
"Петровско - Разумовский проезд, дом, 21, строение 3";"Северный административный округ";"Савёловский район";"16.10.2017";"09.11.2017";"прочие";"закончены";"660475581";"АО «Мосгаз»";"010100000025D1218B84C84240D3C991B457E64B40";"";
"Орехово-Зуевский проезд";"Юго-Восточный административный округ";"Нижегородский район";"26.09.2017";"09.11.2017";"прочие";"закончены";"660516145";"АО «Мосгаз»";"0101000000B3994FACBBE04240701A5C7AAEDD4B40";"";
"Улица Проходчиков, дом 4, строение 2";"Северо-Восточный административный округ";"Ярославский район";"24.10.2017";"13.11.2017";"прочие";"закончены";"660518376";"АО «Мосгаз»";"01010000009346C7CB3ADC42407358B40204F04B40";"";
"3-я Павллоградская, дом 1";"Юго-Западный административный округ";"район Южное Бутово";"25.10.2017";"25.12.2017";"прочие";"закончены";"660518378";"АО «Мосгаз»";"0101000000B94A2E53ADC942406FAF6EF785C54B40";"";
"Левобережная улица";"Северный административный округ";"район Левобережный";"29.09.2017";"10.05.2018";"прочие";"закончены";"660582056";"АО «Мосгаз»";"01010000006CB89E5D21BC4240A697582813F04B40";"";
"Первомайская улица";"Восточный административный округ";"район Измайлово";"20.10.2017";"30.09.2018";"прочие";"закончены";"660599638";"АО «Мосгаз»";"01010000005BB89E7397E442405F84E90D83E54B40";"";
"Улица Черное озеро";"Восточный административный округ";"район Косино-Ухтомский";"20.10.2017";"06.04.2018";"прочие";"закончены";"660599642";"АО «Мосгаз»";"0101000000B380DB0234EE4240221025A6A1DB4B40";"";
"Острякова улица, улица Викторенко";"Северный административный округ";"Хорошёвский район";"18.10.2017";"30.04.2019";"прочие";"закончены";"660599661";"АО «Мосгаз»";"0101000000496437C3FEC2424055F4673E5CE64B40";"";
"Улица Оранжерейная, Ветлужская улица";"Восточный административный округ";"район Косино-Ухтомский";"24.10.2017";"18.12.2018";"прочие";"закончены";"660599663";"АО «Мосгаз»";"010100000052824DA2E9ED4240D83F313802DC4B40";"";
"Скаковая аллея, дом 9";"Северный административный округ";"район Беговой";"15.10.2017";"26.02.2018";"прочие";"закончены";"660601822";"ПАО «МОЭК»";"010100000008B81E8C57C842407F59799305E44B40";"";
"Скаковая улица, дом 34, корпус 2";"Северный административный округ";"район Беговой";"30.01.2018";"26.02.2018";"прочие";"закончены";"660601843";"ПАО «МОЭК»";"01010000001EADEDB131C94240E725BD419AE34B40";"";
"Каширское шоссе, дом 22, корпус 3, строение 17";"Южный административный округ";"район Москворечье-Сабурово";"15.09.2017";"20.11.2017";"прочие";"закончены";"660601917";"ПАО «МОЭК»";"010100000020B81EA1EDD14240D2990DBA6ED44B40";"";
"Уссурийская улица, дом 9";"Восточный административный округ";"район Гольяново";"15.09.2017";"15.11.2017";"прочие";"закончены";"660602167";"ПАО «МОЭК»";"01010000006AFBBC55FEE842402639685663E94B40";"";
"улица Жебрунова, дом 4";"Восточный административный округ";"район Сокольники";"28.08.2017";"29.01.2018";"прочие";"закончены";"660602222";"ПАО «МОЭК»";"0101000000A64C64C9D2D64240EB75F4CB83E44B40";"";
"Автозаводская улица, дом 23, корпус 6";"Южный административный округ";"Даниловский район";"15.08.2017";"15.12.2017";"прочие";"закончены";"660602260";"ПАО «МОЭК»";"01010000006C7FDA0B2FD24240D4E838EF1ADA4B40";"";
"улица Фомичёвой, дом 13";"Северо-Западный административный округ";"район Северное Тушино";"15.02.2018";"31.07.2018";"прочие";"закончены";"661246037";"ПАО «МОЭК»";"010100000046B89EC931B842404664B25991ED4B40";"";
"Улица Черное Озеро";"Восточный административный округ";"район Косино-Ухтомский";"06.11.2017";"01.06.2018";"прочие";"закончены";"668770366";"АО «Мосгаз»";"01010000005A71941B39EE424053D3D56283DB4B40";"";
"Улица Большая Косинская, дом 19";"Восточный административный округ";"район Косино-Ухтомский";"09.11.2017";"28.12.2017";"прочие";"закончены";"670664907";"АО «Мосгаз»";"0101000000A0AB557EA1ED42407B270513B3DB4B40";"";
"улица Фридриха Энгельса, дом 56, строение 1";"Центральный административный округ";"Басманный район";"20.11.2017";"30.11.2017";"прочие";"закончены";"680940658";"ПАО «МОЭК»";"010100000017EBC9D97DD842408173453073E34B40";"";
"Очаковское шоссе, дом 40, строение 1";"Западный административный округ";"район Очаково-Матвеевское";"20.11.2017";"15.01.2018";"прочие";"закончены";"680978107";"ПАО «МОЭК»";"0101000000BB280CBDA2B84240173134CCF2D74B40";"";
"Улица Минская х с Кутузовским проспектом";"Западный административный округ";"район Фили-Давыдково";"23.11.2017";"25.12.2017";"прочие";"закончены";"683336371";"АО «Мосгаз»";"010100000013B81E9DD7BE4240715FB25A65DD4B40";"";
"Улица Гвардейская, дом 15";"Западный административный округ";"Можайский район";"24.11.2017";"25.12.2017";"прочие";"закончены";"683336974";"АО «Мосгаз»";"01010000002EFA58A73BB642408D65F708C5DC4B40";"";
"Улица Ленинская Слобода";"Южный административный округ";"Даниловский район";"05.12.2017";"10.06.2018";"прочие";"закончены";"703673615";"АО «Мосгаз»";"01010000001DD8EFD3DED242406F97A1C93FDA4B40";"";
"Улица Захарьинская, дом 8, строение 1";"Северо-Западный административный округ";"район Куркино";"05.12.2017";"01.04.2018";"прочие";"закончены";"707714153";"АО «Мосгаз»";"01010000003B4284CAFEB0424084330A34C5F14B40";"";
"Гороховский переулок территория Сада имени Баумана";"Центральный административный округ";"Басманный район";"01.11.2017";"30.12.2017";"прочие";"закончены";"796195595";"АО «Мосводоканал»";"01010000005A1EF2859AD4424024A2DD73EDE14B40";"";
"1-я Прядильная, дом, 8";"Восточный административный округ";"район Измайлово";"22.12.2017";"28.12.2017";"прочие";"закончены";"804004247";"АО «Мосгаз»";"010100000050B4FDB34FE342402FF5665AA4E54B40";"";
"3-я Парковая улица, дом 33";"Восточный административный округ";"район Измайлово";"22.12.2017";"28.12.2017";"прочие";"закончены";"804006472";"АО «Мосгаз»";"0101000000345F843D27E44240D7D36E11E8E54B40";"";
"Улица Пудовкина, дом 4";"Западный административный округ";"район Раменки";"22.12.2017";"22.03.2018";"прочие";"закончены";"804009278";"АО «Мосгаз»";"0101000000A0BDB4EB08C44240B26AF58F24DD4B40";"";
"Улица Стартовая, улица Челюскинская, улица Норильская";"Северо-Восточный административный округ";"Лосиноостровский район";"15.01.2018";"01.06.2020";"прочие";"закончены";"832203458";"АО «Мосгаз»";"0101000000252FDB9C7ADA42404F113389E1F04B40";"";
"Улица Васильевская, улица 2-я Брестская, улица Гашека, улица Юлиуса Фучика";"Центральный административный округ";"Тверской район";"15.01.2018";"01.06.2018";"прочие";"закончены";"832206392";"АО «Мосгаз»";"01010000003AB91DA862CB424072DE336CCBE24B40";"";
"Шоссе Фрезер, Перовское шоссе";"Юго-Восточный административный округ";"Нижегородский район";"16.01.2018";"30.04.2019";"прочие";"закончены";"832649134";"АО «Мосгаз»";"010100000083B577E7E2DD42401DB8F89713DE4B40";"";
"Большая Татарская улица, Руновский переулок, Малый Татарский переулок, Вишняковский переулок, Старый Толмачевский переулок";"Центральный административный округ";"район Замоскворечье";"17.01.2018";"02.07.2019";"прочие";"закончены";"832649137";"АО «Мосгаз»";"010100000032C8278301D142408D4B1D0AC4DE4B40";"";
"Остаповский проезд, Угрешская улица";"Юго-Восточный административный округ";"Нижегородский район";"22.01.2018";"17.07.2019";"прочие";"закончены";"833036596";"АО «Мосгаз»";"01010000006E4A1608A6DA424007A65B18E7DB4B40";"";
"Водопроводный переулок, дом 2, строение 3";"Центральный административный округ";"Мещанский район";"18.01.2018";"14.03.2018";"прочие";"закончены";"833041945";"АО «Мосгаз»";"0101000000529B876763D14240E0278582CFE54B40";"";
"Жуков проезд, дом 15, строение 1";"Центральный административный округ";"район Замоскворечье";"22.01.2018";"06.02.2018";"прочие";"закончены";"835212075";"АО «Мосгаз»";"010100000029B89E1AB8D142402CDEFFB491DC4B40";"";
"1-й Красковский проезд, д.38 к.1";"Восточный административный округ";"район Косино-Ухтомский";"15.01.2018";"02.04.2018";"прочие";"закончены";"835212096";"АО «Мосгаз»";"010100000092EA513912F442403329B1D48DDB4B40";"";
"Азовская улица, Черноморский бульвар";"Юго-Западный административный округ";"район Зюзино";"15.02.2018";"30.04.2019";"прочие";"закончены";"838827734";"АО «Мосгаз»";"010100000045BD021D58CC4240E0FB01E5B7D24B40";"";
"Златоустинский большой переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839452436";"АО «Мосводоканал»";"010100000052B89E06DCD04240E75570FB30E14B40";"";
"Подколокольный переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839560726";"АО «Мосводоканал»";"01010000001606DE0041D2424012E98A9F5EE04B40";"";
"Армянский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839584780";"АО «Мосводоканал»";"010100000068B81EF65CD14240E17FEA9253E14B40";"";
"Миусский переулок";"Северо-Восточный административный округ";"район Отрадное";"27.01.2018";"15.04.2018";"прочие";"закончены";"839605930";"АО «Мосводоканал»";"01010000001093EDF79ACB42407731A7ADB4E34B40";"";
"1 Миусская улица";"Центральный административный округ";"Тверской район";"27.01.2018";"15.04.2018";"прочие";"закончены";"839628013";"АО «Мосводоканал»";"0101000000EE61D49913CC4240EF2D1CE5DDE34B40";"";
"Малый Златоустьинский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839644198";"АО «Мосводоканал»";"010100000063602EFD38D14240AAF383BB30E14B40";"";
"Тараса Шевченко набережная";"Западный административный округ";"район Дорогомилово";"25.01.2018";"31.05.2018";"прочие";"закончены";"839670571";"АО «Мосводоканал»";"01010000001DAAF97C30C942402C82F02303E04B40";"";
"Кривоколенный переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839681718";"АО «Мосводоканал»";"0101000000742BF8747BD1424062CD9D3893E14B40";"";
"Старосадский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839695778";"АО «Мосводоканал»";"0101000000406D7012D8D14240BBA94ADCCDE04B40";"";
"Образцовая улица дом 9 д31";"Северо-Восточный административный округ";"Бутырский район";"26.01.2018";"01.09.2018";"прочие";"закончены";"839704163";"АО «Мосводоканал»";"0101000000431E29870ECE4240E09D613435E54B40";"";
"Большая Дорогомиловская улица";"Западный административный округ";"район Дорогомилово";"26.01.2018";"15.04.2018";"прочие";"закончены";"839752542";"АО «Мосводоканал»";"01010000002DB81EA57BC74240AD0AB6F989DF4B40";"";
"Большая Дорогомиловская улица";"Западный административный округ";"район Дорогомилово";"25.01.2018";"15.04.2018";"прочие";"закончены";"839756771";"АО «Мосводоканал»";"010100000013B81EB37CC74240D4A8CFD184DF4B40";"";
"Большая Дорогомиловская улица";"Западный административный округ";"район Дорогомилово";"28.02.2018";"15.04.2018";"прочие";"закончены";"839762156";"АО «Мосводоканал»";"01010000005AB81EB3C8C642404DDC736E83DF4B40";"";
"Петроверигский переулок";"Центральный административный округ";"Басманный район";"26.01.2018";"15.04.2018";"прочие";"закончены";"839796328";"АО «Мосводоканал»";"01010000007EB2901FA1D142405F78DF77E1E04B40";"";
"Улица Маросейка, Петроверигский переулок, Старосадский переулок, Большой Златоустинский переулок, Большой Спасоглинищевский переулок";"Центральный административный округ";"Басманный район";"29.01.2018";"31.05.2018";"прочие";"закончены";"841751427";"АО «Мосгаз»";"0101000000FAB20CFD2AD14240743C3CA4F7E04B40";"";
"Улица Полбина";"Юго-Восточный административный округ";"район Печатники";"02.02.2018";"30.05.2018";"прочие";"закончены";"841780268";"АО «Мосгаз»";"010100000039B89E6346DC4240E10039775AD54B40";"";
"Богданова улица, дом 2";"Западный административный округ";"район Солнцево";"05.02.2018";"30.04.2018";"прочие";"закончены";"841877168";"АО «Мосгаз»";"0101000000614A10D79FB4424071D50ABE61D44B40";"";
"Певческий переулок дом 1";"Центральный административный округ";"Таганский район";"01.03.2018";"15.04.2018";"прочие";"закончены";"860013755";"АО «Мосводоканал»";"01010000000DC8DFBB34D24240F4ED07014AE04B40";"";
"Лучников переулок";"Центральный административный округ";"Таганский район";"01.03.2018";"20.05.2018";"прочие";"закончены";"860013777";"АО «Мосводоканал»";"0101000000BBB64542DFD04240E575EF262CE14B40";"";
"Брянская улица дом 2 - 12";"Западный административный округ";"район Дорогомилово";"01.03.2018";"15.04.2018";"прочие";"закончены";"860013815";"АО «Мосводоканал»";"0101000000043EDC1254C74240B2FFA1BF51DF4B40";"";
"Можайский Вал дом 1 - 11";"Западный административный округ";"район Дорогомилово";"01.03.2018";"15.04.2018";"прочие";"закончены";"860013901";"АО «Мосводоканал»";"0101000000D53DF7CC79C742400690CD2887DF4B40";"";
"Украинский бульвар дом 6 - 7";"Западный административный округ";"район Дорогомилово";"01.03.2018";"15.04.2018";"прочие";"закончены";"860013954";"АО «Мосводоканал»";"010100000014B81E6704C842403837F89641E04B40";"";
"Украинский Бульвар дом 9";"Западный административный округ";"район Дорогомилово";"01.03.2018";"15.04.2018";"прочие";"закончены";"860014113";"АО «Мосводоканал»";"0101000000143E38C29FC842405F689F39BCDF4B40";"";
"Петроверигский переулок дом 2 - 6 -8";"Центральный административный округ";"Таганский район";"01.03.2018";"15.04.2018";"прочие";"закончены";"860014141";"АО «Мосводоканал»";"0101000000BFC6FA2A88D142406C6B1BC7E1E04B40";"";
"Второй Лесной переулок дом 2 - 10";"Центральный административный округ";"Тверской район";"01.03.2018";"15.04.2018";"прочие";"закончены";"860014144";"АО «Мосводоканал»";"010100000095B81E040ACB424031BF40430CE44B40";"";
"Пресненский Вал территория у метро 1905 года";"Центральный административный округ";"Пресненский район";"01.03.2018";"23.04.2018";"прочие";"закончены";"860014148";"АО «Мосводоканал»";"0101000000469BC93327C842402F5DB471B6E14B40";"";
"Улица Добролюбова";"Северо-Восточный административный округ";"Бутырский район";"26.02.2018";"20.09.2018";"прочие";"закончены";"860475245";"АО «Мосгаз»";"0101000000226CAEC725CC42401E430E40C1E74B40";"";
"Улица Синельниковская, улица 1-я Горловская, улица 3-я Павлоградская, улица 4-я Павлоградская";"Юго-Западный административный округ";"район Южное Бутово";"06.03.2018";"18.12.2018";"прочие";"закончены";"860475251";"АО «Мосгаз»";"0101000000563A1A1B4FCA4240E575062820C64B40";"";
"Графский переулок, 3-я Мытищинская улица, 1-я Мытищинская улица, 2-я Мытищинская улица";"Северо-Восточный административный округ";"Алексеевский район";"06.03.2018";"30.04.2019";"прочие";"закончены";"860475264";"АО «Мосгаз»";"01010000006D83DB6848D24240D831795721E64B40";"";
"Большая Татарская, дом 5, строение 9";"Центральный административный округ";"район Замоскворечье";"22.03.2018";"01.07.2018";"прочие";"закончены";"860561994";"АО «Мосгаз»";"01010000003E21780EC9D0424089AAC46D15DF4B40";"";
"Походный проезд, улица Фабрициуса";"Северо-Западный административный округ";"район Южное Тушино";"13.03.2018";"30.08.2018";"прочие";"закончены";"860571986";"АО «Мосгаз»";"0101000000638C55D2ADB54240E0157E6F86EB4B40";"";
"Шебашевский проезд, улица Часовая, Большой Коптевский проезд";"Северный административный округ";"район Аэропорт";"27.03.2018";"20.12.2019";"прочие";"закончены";"860571990";"АО «Мосгаз»";"0101000000245A76394CC442403098E30B7FE74B40";"";
"Большой Краснопрудный тупик, улица Верхняя Красносельская, 3-й Красносельский переулок, 4-й Красносельский переулок, улица Верхняя Красносельская, улица Лобачика, улица Малая Красносельская, улица 5-й Красносельский переулок";"Центральный административный округ";"Красносельский район";"28.03.2018";"23.10.2018";"прочие";"закончены";"860571996";"АО «Мосгаз»";"0101000000FEFF47567CD442405D0D5F0350E44B40";"";
"Минская улица через пути Филевской линии метро";"Западный административный округ";"район Филёвский Парк";"07.03.2018";"26.05.2018";"прочие";"закончены";"860990337";"ГБУ «Гормост»";"0101000000F1182355DFBD42407836CC33A2DE4B40";"";
"Багратионовский проезд через пути Филевской линии метро";"Западный административный округ";"район Филёвский Парк";"08.03.2018";"15.05.2018";"прочие";"закончены";"860990449";"ГБУ «Гормост»";"010100000082B642DADAC142400269EB5E93DF4B40";"";
"Барклая улица через пути Филевской линии метро";"Западный административный округ";"район Филёвский Парк";"20.03.2018";"26.05.2018";"прочие";"закончены";"860990543";"ГБУ «Гормост»";"01010000000C597998B8BF42403B8BC82F37DF4B40";"";
"Рублевское шоссе через пути Филевской линии метро";"Западный административный округ";"район Фили-Давыдково";"30.03.2018";"26.05.2018";"прочие";"закончены";"860990665";"ГБУ «Гормост»";"0101000000BD9C6F3F1AB942405407B5588CDD4B40";"";
"Улица Красных Зорь, улица Ивана Франко";"Западный административный округ";"район Кунцево";"06.04.2018";"28.02.2019";"прочие";"закончены";"861115972";"АО «Мосгаз»";"01010000004D5333888BB6424065B648A4F9DC4B40";"";
"Люблинская улица через р. Москва";"Южный административный округ";"район Братеево";"15.04.2018";"03.12.2018";"прочие";"закончены";"861490887";"ГБУ «Гормост»";"0101000000A0A76C86C7DF42402520BADE9AD14B40";"";
"Волгоградский проспект";"Юго-Восточный административный округ";"Нижегородский район";"17.04.2018";"30.08.2018";"прочие";"закончены";"861511589";"АО «Мосгаз»";"010100000085B89EB155D94240E3D17D346CDC4B40";"";
"Улица Новоостаповская, дом 14";"Юго-Восточный административный округ";"Южнопортовый район";"16.04.2018";"20.04.2018";"прочие";"закончены";"861521737";"АО «Мосгаз»";"010100000044C8C283F4D5424086A15A3726DC4B40";"";
"Улица Красноармейская, улица Старый Зыковский проезд, улица Коккинаки, улица Пилота Нестерова, улица Константина Симонова, улица Степана Супруна";"Северный административный округ";"район Аэропорт";"22.04.2018";"03.07.2019";"прочие";"закончены";"861758630";"АО «Мосгаз»";"0101000000E16C2D90D4C542405FB1CE853DE64B40";"";
"Дмитровское шоссе д.111 - Яхромская ул. - Икшинская ул.";"Северный административный округ";"Дмитровский район";"01.04.2018";"01.12.2018";"прочие";"закончены";"861760206";"АО «Мосводоканал»";"0101000000EEE182575FC542402F5BDC7C66F14B40";"";
"Производственная улица";"Западный административный округ";"район Солнцево";"01.03.2018";"31.01.2019";"прочие";"закончены";"861760371";"АО «Мосводоканал»";"01010000009F30534D1BB142404D4D3C7459D24B40";"";
"Кулаков пер. - 1-й Рижский пер.";"Северный административный округ";"Алексеевский район";"01.03.2018";"01.12.2018";"прочие";"закончены";"861760403";"АО «Мосводоканал»";"010100000075E7F17E49D34240A11B2210E5E64B40";"";
"Автозаводская улица д19 юго-восточная магистраль";"Южный административный округ";"Даниловский район";"01.04.2018";"01.09.2018";"прочие";"закончены";"861765985";"АО «Мосводоканал»";"0101000000CA32E64662D34240A3585EF31ADA4B40";"";
"Северное Чертаново корп. 805";"Южный административный округ";"район Чертаново Северное";"01.04.2018";"01.12.2018";"прочие";"закончены";"861766026";"АО «Мосводоканал»";"01010000000540B274D2CB424027ED77340FD14B40";"";
"ул. Летчика Бабушкина д.32";"Северо-Восточный административный округ";"Бабушкинский район";"01.03.2018";"01.08.2018";"прочие";"закончены";"861766064";"АО «Мосводоканал»";"01010000007A8EB90094D642406E1A8C5E81EF4B40";"";
"Коровинское шоссе д.37";"Северный административный округ";"район Западное Дегунино";"01.03.2018";"01.09.2018";"прочие";"закончены";"861766087";"АО «Мосводоканал»";"01010000004476F89EA9C1424030FDC5834AF14B40";"";
"Перовская ул. д.60 корп.1";"Восточный административный округ";"район Новогиреево";"01.03.2018";"01.09.2018";"прочие";"закончены";"861766257";"АО «Мосводоканал»";"0101000000366C1F3D90E54240A5873CC349DF4B40";"";
"Загорьевская ул. д.10 корп.1";"Южный административный округ";"район Бирюлёво Восточное";"01.04.2018";"01.09.2018";"прочие";"закончены";"861766284";"АО «Мосводоканал»";"010100000030F707DDAED64240A7C8F10A36CA4B40";"";
"Северный Проезд пересечение Дмитровского шоссе КНС Паведники";"Северный административный округ";"район Северный";"01.03.2018";"01.09.2018";"прочие";"закончены";"861766420";"АО «Мосводоканал»";"0101000000695DEFD8B4C54240923A9854CDF84B40";"";
"ул. Бехтерева д.49 КНС Л.Дачное";"Южный административный округ";"район Царицыно";"01.02.2018";"01.09.2018";"прочие";"закончены";"861766485";"АО «Мосводоканал»";"01010000000AB81E1DF8D242400505C683E0CE4B40";"";
"Село Кленово ул. Центральная КНС Кленово";"Троицкий административный округ";"поселение Кленовское";"01.04.2018";"01.09.2018";"прочие";"закончены";"861766538";"АО «Мосводоканал»";"0101000000F92B5966FDAC4240109B3E575EA94B40";"";
"Улица 1-й Тушинский проезд, улица 3-й Тушинский проезд";"Северо-Западный административный округ";"район Покровское-Стрешнево";"26.04.2018";"01.06.2019";"прочие";"закончены";"862001234";"АО «Мосгаз»";"010100000012072E5E5CB54240848EDC8FAFEA4B40";"";
"Улица Старый Зыковский проезд, улица Эльдорадовский переулок, улица Степана Супруна, улица Пилота Нестерова";"Северный административный округ";"район Аэропорт";"26.04.2018";"17.06.2019";"прочие";"закончены";"862001751";"АО «Мосгаз»";"01010000007A84AAF3E2C54240F8F1DAA053E64B40";"";
"Вишняковский переулок, Большая Татарская улица, Большой Татарский переулок";"Центральный административный округ";"район Замоскворечье";"03.05.2018";"15.10.2018";"прочие";"закончены";"862393865";"АО «Мосгаз»";"01010000008E084D82FFD042407963B4B856DE4B40";"";
"Улица Искры, улица Верхоянская, улица Радужная";"Северо-Восточный административный округ";"Бабушкинский район";"14.05.2018";"01.06.2019";"прочие";"закончены";"862394589";"АО «Мосгаз»";"0101000000219A08BDADD542407BB95A5B1EEE4B40";"";
"Мазиловская улица через пути Филевской линии метрополитена";"Западный административный округ";"район Фили-Давыдково";"10.05.2018";"24.05.2018";"прочие";"закончены";"863168651";"ГБУ «Гормост»";"010100000088E838B4C7BB4240B2A4EB5932DE4B40";"";
"Федеративный проспект, 6-й проспект Новогиреева";"Восточный административный округ";"район Новогиреево";"16.05.2018";"30.09.2018";"прочие";"закончены";"863213582";"АО «Мосгаз»";"0101000000574FD7751DE842407C15752489E04B40";"";
"Улица Иловайская";"Юго-Восточный административный округ";"район Марьино";"14.05.2018";"30.08.2018";"прочие";"закончены";"863213641";"АО «Мосгаз»";"0101000000E552F74F30DC42402239B8A585D44B40";"";
"Шмитовский проезд, Шелепихинская набережная, Мукомольный проезд";"Центральный административный округ";"Пресненский район";"15.01.2018";"15.10.2020";"прочие";"идут";"864427827";"АО «Мосгаз»";"01010000007C274A3FE8C24240FEE3378CF3DF4B40";"";
"Улица Донская";"Южный административный округ";"Донской район";"06.06.2018";"01.11.2018";"прочие";"закончены";"864427940";"АО «Мосгаз»";"01010000008C5E79D76ECD4240239392F51FDC4B40";"";
"Проектируемый проезд № 5443";"Северо-Восточный административный округ";"район Отрадное";"23.05.2018";"30.05.2019";"прочие";"закончены";"864428225";"АО «Мосгаз»";"0101000000950B9322D7CB424075AF64E90AED4B40";"";
"Улица Первомайская, дом 40-19";"Восточный административный округ";"район Измайлово";"15.06.2018";"26.07.2018";"прочие";"закончены";"870136527";"АО «Мосгаз»";"0101000000F812AF959DE44240853DB5F47EE54B40";"";
"1-я Магистральная улица, дом 20, строение 5";"Северный административный округ";"Хорошёвский район";"13.06.2018";"26.07.2018";"прочие";"закончены";"870138393";"АО «Мосгаз»";"0101000000A52728313AC24240C974DB00BEE24B40";"";
"Улица Садовники, дом 4, строение 2";"Южный административный округ";"район Нагатино-Садовники";"12.07.2018";"01.09.2018";"прочие";"закончены";"879290414";"АО «Мосгаз»";"010100000088B81E1398D3424084BAD58894D64B40";"";
"Боровский проезд, дом 14";"Западный административный округ";"район Солнцево";"30.07.2018";"30.08.2018";"прочие";"закончены";"880082571";"ПАО «МОЭК»";"010100000096DBB8F472B14240597A9623B1D34B40";"";
"улица 800-летия Москвы, дом 2, корпус 2";"Северный административный округ";"Бескудниковский район";"10.07.2018";"15.08.2018";"прочие";"закончены";"880083995";"ПАО «МОЭК»";"01010000002D063C6148C442408DD5E9971EF04B40";"";
"улица Байкальская, дом 5, строение 2";"Восточный административный округ";"район Гольяново";"10.07.2018";"30.06.2019";"прочие";"закончены";"880119833";"ПАО «МОЭК»";"010100000072A849A078E4424000B9419B8DE84B40";"";
"улица Знаменская ,дом 5, строение 2";"Восточный административный округ";"район Сокольники";"10.07.2018";"26.12.2018";"прочие";"закончены";"880129767";"ПАО «МОЭК»";"010100000078B81E526FDB42401EE1B778A6E64B40";"";
"улица 2-я Владимирская, дом 15, корпус 3, строение 2";"Восточный административный округ";"район Перово";"10.07.2018";"30.12.2018";"прочие";"закончены";"880130764";"ПАО «МОЭК»";"01010000003F669C6B37E442401BB1E2304CE14B40";"";
"Улица Иловайская, дом 10А, строение 5";"Юго-Восточный административный округ";"район Марьино";"19.07.2018";"30.05.2019";"прочие";"закончены";"880641248";"АО «Мосгаз»";"010100000041753C277EDC4240EF0A50C657D44B40";"";
"улица Луганская, дом 9, строение 1";"Южный административный округ";"район Царицыно";"01.02.2019";"28.02.2019";"прочие";"закончены";"880641575";"ПАО «МОЭК»";"010100000055B81EDD8FD54240C01C615ABCCF4B40";"";
"Звенигородское шоссе";"Центральный административный округ";"Пресненский район";"19.07.2018";"28.08.2018";"прочие";"закончены";"880641726";"АО «Мосгаз»";"01010000003FB81E4636C64240EF0086B9E9E14B40";"";
"Улица Шоссейная, улица Гурьянова";"Юго-Восточный административный округ";"район Печатники";"28.06.2018";"30.06.2020";"прочие";"закончены";"880642217";"АО «Мосгаз»";"0101000000BE57D77154DD4240BFE1A70B9ED84B40";"";
"улица Лебедянская, дом 44";"Южный административный округ";"район Бирюлёво Восточное";"01.02.2019";"28.02.2019";"прочие";"закончены";"880642512";"ПАО «МОЭК»";"010100000074B81E8218D5424012053BAB1ACB4B40";"";
"Улица Красная Пресня, Столярный переулок, улица Пресненский Вал, улица Трёхгорный Вал, Большой Трёхгорный переулок, площадь Краснопресненская Застава, улица Заморёнова";"Центральный административный округ";"Пресненский район";"17.07.2018";"31.07.2019";"прочие";"закончены";"880642746";"АО «Мосгаз»";"0101000000BABA353753C842404DD5F5A1CBE14B40";"";
"8-й Новоподмосковный переулок, дом 11А";"Северный административный округ";"район Коптево";"27.11.2018";"30.12.2018";"прочие";"закончены";"880648577";"ПАО «МОЭК»";"01010000006EE1A1452CC34240386E598F4AE94B40";"";
"4-й Войковский проезд, дом 5";"Северный административный округ";"Войковский район";"30.08.2018";"30.09.2018";"прочие";"закончены";"880649187";"ПАО «МОЭК»";"01010000003AB81EAC22BF4240C3EECC5025E94B40";"";
"Можайское шоссе, дом 28";"Западный административный округ";"Можайский район";"06.08.2018";"27.08.2018";"прочие";"закончены";"880698009";"ПАО «МОЭК»";"0101000000860CB285E0B542401E9259062DDC4B40";"";
"Улица Волная, дом 28, строение 8";"Восточный административный округ";"район Соколиная Гора";"18.07.2018";"08.10.2018";"прочие";"закончены";"880842963";"АО «Мосгаз»";"010100000027F7E54F29DE4240013B78A67AE34B40";"";
