"Location";"AdmArea";"District";"WorkStartDate";"WorkEndDate";"WorkType";"WorkStatus";"global_id";"NameOrg";"geodata_center";"geoarea";
"Эстакада Кубинко-Боженко";"Западный административный округ";"район Кунцево";"07.10.2020";"25.04.2021";"прочие";"идут";"1068689518";"ГБУ «Гормост»";"0101000000D6FFFF23F7B342405555397424DD4B40";"";
"Путепровод Сколковский МКАД";"Западный административный округ";"Можайский район";"20.10.2020";"14.02.2021";"прочие";"идут";"1068689521";"ГБУ «Гормост»";"0101000000180000021AB34240D2D659D1C7D94B40";"";
"Путепровод Горьковский МКАД";"Восточный административный округ";"район Ивановское";"14.08.2020";"26.11.2020";"прочие";"идут";"1068689522";"ГБУ «Гормост»";"01010000003F0000E8EBEB4240A686EE1E60E34B40";"";
"улица Новозаводская";"Западный административный округ";"район Филёвский Парк";"28.10.2020";"25.04.2021";"прочие";"идут";"1068740668";"АО «Мосгаз»";"01010000003B0000EC02C24240EABF5B7E7ADF4B40";"";
"Загорьевский пр. д.2";"Южный административный округ";"район Бирюлёво Восточное";"01.12.2020";"31.05.2021";"прочие";"идут";"1082826088";"АО «Мосводоканал»";"01010000003400004C25D642400EDDDFF574C94B40";"";
"ул. Маршала Голованова";"Юго-Восточный административный округ";"район Марьино";"18.01.2021";"31.05.2021";"прочие";"идут";"1082826095";"АО «Мосводоканал»";"010100000032000059FFDC424023F163666BD34B40";"";
"ул. Генерала Тюленева д.25-27";"Юго-Западный административный округ";"район Тёплый Стан";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826113";"АО «Мосводоканал»";"0101000000050000E93CBE42402E22D7CB3FCF4B40";"";
"ул. Промышленная д.4";"Южный административный округ";"район Царицыно";"01.01.2021";"30.04.2021";"прочие";"идут";"1082826115";"АО «Мосводоканал»";"01010000002F0000270BD3424030DCFCE913D14B40";"";
"ул. Авиаконструктора Яковлева 33 к3";"Северный административный округ";"район Аэропорт";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826144";"АО «Мосводоканал»";"0101000000F7FF7F27E1C1424024FDCB6064E74B40";"";
"2-я Фрезерная д.6";"Юго-Восточный административный округ";"Нижегородский район";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826167";"АО «Мосводоканал»";"0101000000BAFFFF8A52DF4240C08F4DF6BBDE4B40";"";
"ул. Новосущевская 24";"Северо-Восточный административный округ";"район Марьина Роща";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826168";"АО «Мосводоканал»";"0101000000CFFF7F155DCD4240C1C30B9273E54B40";"";
"ул. Фабрициуса д.42";"Северо-Западный административный округ";"район Южное Тушино";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826182";"АО «Мосводоканал»";"0101000000C4FF7FB5D3B642400EDDF92C0CEC4B40";"";
"Золоторожская наб. д.1 с.1";"Восточный административный округ";"район Лефортово";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826187";"АО «Мосводоканал»";"0101000000E6FF7F7623D6424070D01C744EE04B40";"";
"ул. Мещерякова д.11";"Северо-Западный административный округ";"район Покровское-Стрешнево";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826189";"АО «Мосводоканал»";"0101000000F5FFFFC546B9424034EFAA849AEA4B40";"";
"Можайское шоссе д. 33";"Западный административный округ";"Можайский район";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826199";"АО «Мосводоканал»";"0101000000170000D657B64240564666E026DC4B40";"";
"пос. Восточный, Главная ул.";"Восточный административный округ";"район Восточный";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826259";"АО «Мосводоканал»";"0101000000BBFF7F5E85EF424022EE4379FCE84B40";"";
"Сигнальный пр. д.35";"Северо-Восточный административный округ";"район Отрадное";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826751";"АО «Мосводоканал»";"01010000003D0080D5BACD42408A2A996AC6EC4B40";"";
"Щелковский проезд - Сиреневый бул.";"Восточный административный округ";"район Северное Измайлово";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826836";"АО «Мосводоканал»";"0101000000F2FFFF5ADEE34240CD034D14F3E64B40";"";
"Новосходненское шоссе 160";"Северный административный округ";"Молжаниновский район";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826891";"АО «Мосводоканал»";"010100000018000064F7AC4240C30F315D90F74B40";"";
"1й Дербеневский пер. д.3";"Южный административный округ";"Даниловский район";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826894";"АО «Мосводоканал»";"0101000000130000A102D44240D57EC8B5ADDC4B40";"";
"Варшавское шоссе д.2";"Южный административный округ";"Донской район";"18.01.2021";"31.05.2021";"прочие";"идут";"1082826904";"АО «Мосводоканал»";"01010000000E0000CE82CF4240DBB3A29AC9D94B40";"";
"Шелепихинская наб. д.24";"Западный административный округ";"Пресненский район";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826906";"АО «Мосводоканал»";"01010000000400000C04C2424017D31B112AE14B40";"";
"Языковский пер. д.16";"Центральный административный округ";"район Хамовники";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826918";"АО «Мосводоканал»";"01010000000B00009CB6CA4240D3D36B93C3DD4B40";"";
"Земледельческий пер. д.9";"Центральный административный округ";"район Хамовники";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826921";"АО «Мосводоканал»";"01010000002A000002F1C94240346450B398DE4B40";"";
"Большая Якиманка";"Центральный административный округ";"район Якиманка";"01.01.2021";"31.05.2021";"прочие";"идут";"1082826926";"АО «Мосводоканал»";"01010000000100007B8BCE4240F4D9874628DE4B40";"";
